descricao,criado,qtdInsumos,calculado,correto
30 CAP | BUPROPIONA CLORIDRATO  150MG,2020-08-05 23:19:09,1,47.5297,39.9
60 CAP | HIPERICUM PERFORATUM  300MG,2020-08-05 21:48:09,1,64.0034,55.3
90 CAP | VITAMINA D3   4000UI,2020-08-05 21:48:09,1,35.328,49.5
120 CAP | GINKGO BILOBA  120MG,2020-08-05 21:48:09,1,100.1735,90.8
30 CAP | TRIPTOFANO  500MG,2020-08-05 21:33:09,1,80.4736,78.3
40 CAP | CETOPROFENO  30MG; FAMOTIDINA  20MG; DEFLAZACORT  2MG; CICLOBENZAPRINE 2.500MG,2020-08-05 21:32:08,4,68.9796,57.6
30 CAP | MAGNESIO QUELADO 30%  200MG,2020-08-05 21:30:09,1,40.6931,39.9
120 CAP | VITAMINA D LIQ 40.000UI/ML  10000UI,2020-08-05 21:29:08,1,72.24,70.0
30 CAP | MELATONINA SLOW RELEASE  3MG; ZINCO QUELADO 8.700MG; SELENIO QUELADO  50MCG,2020-08-05 21:26:09,3,51.5546,45.6
30 CAP | IMUNO TF  100MG,2020-08-05 21:25:08,1,346.4133,336.1
60 CAP | CURCUMINA  1G; PIPERINA  5MG,2020-08-05 21:22:08,2,233.6535,229.4
60 CAP | INOSITOL  4G,2020-08-05 21:21:09,1,140.4095,191.8
60 CAP | CRAMBERRY  500MG,2020-08-05 21:20:08,1,155.879,145.4
30 CAP | EXSYNUTRIMENT-SILICIO ORGANICO  100MG; BIO ARTC  100MG,2020-08-05 21:19:09,2,177.288,182.0
30 CAP | NUTRICOLIN  300MG,2020-08-05 21:19:09,1,173.2657,162.8
60 CAP | MOROSIL  300MG; CACTIN  200MG; PICOLINATO DE CROMO  20MCG,2020-08-05 21:19:09,3,195.3857,190.7
30 CAP | L TIROSINA  200MG; TIROXINA  38MCG; TRIIODOTIRONINA (T3)   9MCG,2020-08-05 21:14:08,3,45.9827,39.9
30 CAP | PRASTERONA  25MG,2020-08-05 21:14:08,1,111.0,101.6
60 CAP | ANFEPRAMONA  60MG,2020-08-05 21:11:08,1,313.8221,300.4
60 CAP | ORLISTAT  120MG,2020-08-05 21:11:08,1,155.0114,134.3
120 CAP | N ACETIL L CISTEINA  600MG,2020-08-05 21:09:08,1,109.1745,133.1
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI; VITAMINA K2 LIQ SOL MAE  100MCG,2020-08-05 21:07:09,2,59.9724,62.0
30 CAP | COLAGENO TIPO 2  40MG; DIACEREINA  50MG,2020-08-05 21:06:08,2,94.7598,87.1
240 CAP | CASSIOLAMINA EXTRACT  200MG; CROMO PICOLINATO  150MCG; FASEOLAMINA  200MG; GARCINIA CAMBOJA EXT SECO  300MG,2020-08-05 21:05:08,4,214.7106,191.2
6 CAP | ALBENDAZOL  400MG,2020-08-05 21:04:08,1,35.2422,39.9
2 CAP | SECNIDAZOL  1G,2020-08-05 21:04:08,1,33.3754,39.9
240 CAP | TRIIODOTIRONINA (T3) 1:1000  8MCG,2020-08-05 21:04:08,1,38.8655,49.5
30 CAP | RECOMPOSITOR MICROB POTEN CAPS  30UN,2020-08-05 21:02:08,1,78.8718,76.6
120 CAP | HIDROCORTISONA BASE  30MG,2020-08-05 21:02:08,1,211.6415,189.4
30 CAP | MAGNESIO DIMALATO  250MG,2020-08-05 21:02:08,1,39.7785,40.0
30 CAP | VITAMINA D  4000UI; VITAMINA K2 MK7  100MCG,2020-08-05 21:01:08,2,31.8795,40.0
150 CAP | CORTISOL BIOIDENTICO  5MG,2020-08-05 21:01:08,1,67.842,58.9
60 CAP | CARDO MARIANO  500MG,2020-08-05 21:00:08,1,86.1957,84.0
60 CAP | MAGNESIO DIMALATO  200MG; TIAMINA  50MG; RIBOFLAVINA  50MG; ACIDO PANTOTENICO  25MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO  200MCG; METILCOBALAMINA  200MCG; CROMO GTF  100MCG; ZINCO QUELATO  10MG; SELENIO QUELATO  50MCG; ACIDO ALFA LIPOICO  150MG,2020-08-05 20:58:08,11,144.688,152.1
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; BIFIDOBACTERIUM LONGUM  50MG; LACTOBACILLUS GASSERI  30MG; PLANTARIUM LACTOBACILLUS  50MG; BIFIDOBACTERIUM BREVE  100MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,2020-08-05 20:58:08,6,59.6527,51.6
30 CAP | VITAMINA D3  50000UI,2020-08-05 20:57:09,1,52.2,64.6
30 CAP | TEACRINE  100MG; MAGNESIO TREONATO  300MG; TAURINA  200MG; FOSFATIDIL SERINA  50MG,2020-08-05 20:55:08,4,145.9455,136.8
60 CAP | L THEANINA  200MG,2020-08-05 20:53:08,1,74.8763,63.9
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  6000UI,2020-08-05 20:51:08,1,36.336,39.9
30 CAP | OLEO DE OREGANO  250MG,2020-08-05 20:51:08,1,35.2957,39.9
120 CAP | CRAMBERRY EXT SECO  500MG,2020-08-05 20:49:08,1,281.7581,252.3
60 CAP | BIFIDOBACTERIUM BREVE  100MG; BIFIDOBACTERIUM INFANTIS  100MG; BIFID LACTIS/ ANIMALS  200MG; BIFIDOBACTERIUM LONGUM  100MG,2020-08-05 20:48:08,4,101.8763,95.5
60 CAP | N ACETIL L CISTEINA  250MG,2020-08-05 20:46:08,1,46.4947,44.4
90 CAP | VITAMINA A  600MCG; VITAMINA D  5MCG; TIAMINA 1.200MG; RIBOFLAVINA 1.300MG; NIACINA NO FLUSH  16MG; ACIDO PANTOTENICO  5MG; VITAMINA B6 1.300MG; BIOTINA  30MCG; ACIDO FOLICO  240MCG; VITAMINA B12 2.400MCG; VITAMINA C  45MG; VITAMINA E  10MG; FERRO   14MG; ZINCO  7MG; MAGNESIO   130MG; EXSYNUTRIMENT-SILICIO ORGANICO  50MG,2020-08-05 20:44:08,16,183.1481,175.1
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI,2020-08-05 20:44:08,1,40.56,39.9
120 CAP | MAGNESIO QUELADO COM GLICINA  125MG,2020-08-05 20:43:10,1,56.3301,49.5
30 CAP | TADALAFIL  5MG,2020-08-05 20:42:08,1,41.6296,39.9
90 CAP | RHODIOLA ROSEA EXT SECO  150MG; ASHWAGANDHA EXTRATO  150MG,2020-08-05 20:39:10,2,107.2704,94.2
90 CAP | DHEA PO  25MG,2020-08-05 20:38:12,1,273.0,254.1
30 CAP | QUERCETINA  500MG,2020-08-05 20:33:09,1,81.5675,76.0
60 CAP | CETIRIZINE  10MG,2020-08-05 20:32:08,1,62.76,52.5
60 CAP | BIOTINA  5MG; FERRO QUELADO  15MG,2020-08-05 20:31:11,2,67.1667,56.9
90 CAP | T3  5MCG,2020-08-05 20:31:11,1,32.0778,47.4
90 CAP | VITAMINA D  10000UI; VITAMINA A  1000UI,2020-08-05 20:31:11,2,43.4982,47.4
90 CAP | T4  25MCG; T3  5MCG,2020-08-05 20:30:08,2,33.6718,47.4
30 CAP | MOROSIL  400MG,2020-08-05 20:29:08,1,118.634,110.5
120 CAP | GABA  300MG,2020-08-05 20:28:08,1,130.2182,112.1
60 CAP | DIACEREINA  50MG; COLAGENO TIPO 2  40MG; BOSWELLIA SERRATA  250MG,2020-08-05 20:27:07,3,212.7845,201.6
60 CAP | PHENIBUT  100MG,2020-08-05 20:22:07,1,120.6304,112.1
60 CAP | RESVERATROL  50MG,2020-08-05 20:22:07,1,84.2522,77.3
60 CAP | CRAMBERRY EXT SECO  400MG; VITAMINA C  500MG,2020-08-05 20:22:07,2,154.4632,139.9
60 CAP | T4  25MCG; T3  5MCG,2020-08-05 20:22:07,2,32.4478,43.6
30 CAP | T3  10MCG,2020-08-05 20:22:07,1,31.3852,39.9
10 CAP | IVERMECTINA  6MG,2020-08-05 20:21:07,1,35.5914,39.9
60 CAP | ANASTROZOL 1:10 0.500MG,2020-08-05 20:20:07,1,61.7191,53.0
60 CAP | SIBUTRAMINA CLORIDRATO  15MG,2020-08-05 20:19:08,1,87.7424,78.0
120 CAP | BUPROPIONA CLORIDRATO  100MG,2020-08-05 20:19:08,1,76.746,65.0
30 CAP | SAW PALMETO EXT SECO  700MG; DUTASTERIDA 0.100MG; EXSYNUTRIMENT-SILICIO ORGANICO  300MG; CISTEINA CLORIDRATO ANIDRA  100MG; CISTINA  100MG; CLOMIFENO CITRATO  30MG; BIOTINA  5MG; OSTARINE  5MG,2020-08-05 20:19:08,8,360.5567,354.2
60 CAP | VITAMINA D3 1:100  4000UI,2020-08-05 20:17:07,1,33.552,43.6
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 SOL MAE  60MCG,2020-08-05 20:13:07,2,72.4826,68.4
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  20000UI; VITAMINA A OLEOSA ORAL  2000UI; VITAMINA K2 LIQ SOL MAE  200MCG,2020-08-05 20:05:07,3,47.2842,40.0
60 CAP | COENZIMA Q10 PO  200MG; PQQ  5MG; COMPLEXO B 50MG  50MG,2020-08-05 20:05:07,3,249.1106,233.6
60 CAP | PROGESTERONA BASE  20MG,2020-08-05 20:05:07,1,52.2602,43.6
60 CAP | CORTISOL BIOIDENTICO  20MG; PRASTERONA  20MG,2020-08-05 20:04:07,2,220.1472,206.6
60 CAP | CROMO GTF  100MCG; VANADIO QUELADO  100MCG; BIOTINA 0.500MG; ACIDO ALFA LIPOICO  350MG,2020-08-05 20:04:07,4,113.805,112.0
30 CAP | VITAMINA B12  5000MCG,2020-08-05 20:02:07,1,73.5,69.0
60 CAP | LEVEDO DE CERVEJA  500MG,2020-08-05 20:01:07,1,42.5013,43.6
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 LIQ SOL MAE  100MCG,2020-08-05 20:01:07,2,40.6611,39.9
60 CAP | GRIFFONIA SIMPLICIFOLIA  100MG; MELISSA OFFICINALIS  150MG; PASSIFLORA INCARNATA  100MG; ERYTHRINA VELLUNTIA  200MG,2020-08-05 20:00:07,4,132.9023,119.9
60 CAP | GARCINIA CAMBOJA  150MG; CAMELIA SINENSIS  300MG; CITRUS AURANTIUM   300MG; CROMO PICOLINATO  200MCG,2020-08-05 20:00:07,4,107.137,101.9
60 CAP | VITAMINA D   6000UI; VITAMINA K2 MK7  50MCG,2020-08-05 20:00:07,2,35.4315,43.6
60 CAP | DIACEREINA  50MG; TC II  40MG; BOSWELLIA SERRATA  250MG,2020-08-05 19:59:08,3,212.7845,201.9
60 CAP | MOROSIL  300MG; ALTILIX   50MG; CACTIN  200MG; FIBREGUM   500MG,2020-08-05 19:59:08,4,266.4603,261.2
60 CAP | 5-HTP  150MG; MELISSA   150MG; PASSIFLORA  100MG; ERYTHRINA  200MG,2020-08-05 19:58:07,4,173.5042,159.7
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  50MG; CRISPATUS LACTOBACILLUS   100MG; PLANTARUM LACTOBACILLUS  50MG; BIFIDOBACTERIUM INFANTIS  50MG; BIFIDOBACTERIUM LONGUM  50MG,2020-08-05 19:57:08,7,63.4741,53.2
60 CAP | CURCUMA LONGA  500MG; PIPERINA  10MG,2020-08-05 19:57:08,2,157.308,146.7
60 CAP | T3  8MCG; T4  35MCG,2020-08-05 19:57:08,2,33.704,43.6
120 CAP | T3  8MCG,2020-08-05 19:57:08,1,34.4327,49.5
270 CAP | BIOTINA  5MG,2020-08-05 19:55:07,1,182.415,195.0
20 CAP | DEFLAZACORT  8MG; TRAMADOL CLORIDRATO 37.500MG; CICLOBENZAPRINE 2.500MG; FAMOTIDINA  10MG; PARACETAMOL  200MG,2020-08-05 19:54:07,5,74.8132,67.4
90 CAP | VITAMINA D OLEOSA  10000UI; VITAMINA A OLEOSA  1000UI,2020-08-05 19:50:07,2,55.569,61.8
9 CAP | IVERMECTINA  6MG,2020-08-05 19:50:07,1,35.0323,39.9
30 CAP | DOXEPINA CLORIDRATO  3MG,2020-08-05 19:50:07,1,35.1173,40.0
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  90000UI,2020-08-05 19:49:08,1,103.71,95.8
120 CAP | VITAMINA D LIQ   10000UI,2020-08-05 19:49:08,1,72.24,68.3
90 CAP | CITRUS AURANTIUM EXT SECO  200MG; CAMELLIA SINENSIS  400MG; CAPSICUM ANNUUM  6MG; ZINGIBER OFFICINALIS   200MG; CAFEINA BASE ANIDRA  200MG,2020-08-05 19:47:08,5,234.3533,219.8
30 CAP | TIROXINA  50MCG; TRIIODOTIRONINA (T3) 1:1000  10MCG,2020-08-05 19:46:07,2,32.4478,39.9
15 CAP | VITAMINA K1  15MG,2020-08-05 19:46:07,1,45.2067,39.9
60 CAP | T3  10MCG; POLIFENOIS DE CAMELIA SINENSIS  100MG; EUTERPE OLERACEA EXT SECO  100MG,2020-08-05 19:44:08,3,47.2837,52.6
30 CAP | BIOSIL  520MG,2020-08-05 19:43:08,1,201.976,193.0
60 CAP | ACIDOPHILUS LACTOBACILLUS  200MG; RHAMNOSUS LACTOBACILLUS  100MG; ACIDO FERULICO  15MG; EUTERPE OLERACEA EXT SECO  100MG; FRUTOLIGOSSACARIDEO  100MG; LACTOBACILLUS BIFIDUM  200MG; BULGARICUS LACTOBACILLUS  200MG,2020-08-05 19:42:08,7,191.3281,178.7
30 CAP | EQUINACEA EXT SECO  200MG; ZINCO QUELADO  30MG; VITAMINA C REVESTIDA  200MG; QUERCETINA  200MG,2020-08-05 19:42:08,4,70.1568,60.7
2 CAP | IVERMECTINA  6MG,2020-08-05 19:41:08,1,31.1183,39.9
90 CAP | VITAMINA C   1G,2020-08-05 19:40:07,1,102.7054,84.0
30 CAP | VITAMINA D  4000UI,2020-08-05 19:40:07,1,31.776,39.9
20 CAP | NIMESULIDE  100MG,2020-08-05 19:39:07,1,38.1832,40.0
12 CAP | ACIDO FOLINICO  50MG,2020-08-05 19:38:07,1,103.9976,99.1
60 CAP | LACTASE  400MG,2020-08-05 19:37:07,1,117.5084,113.6
120 CAP | BUPROPIONA CLORIDRATO  90MG; NALTREXONA HCL  4MG,2020-08-05 19:37:07,2,124.8263,119.1
180 CAP | T3 SLOW RELEASE  7MCG,2020-08-05 19:36:08,1,34.6533,56.6
120 CAP | ACIDO TRANEXAMICO  250MG; BIOTINA 2.500MG,2020-08-05 19:35:07,2,214.125,211.6
90 CAP | T4  35MCG,2020-08-05 19:35:07,1,32.2315,47.4
30 CAP | GASSERI LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  60MG; ACIDOPHILUS LACTOBACILLUS  400MG; BULGARICUS LAC/PARACASEI  135MG; RHAMNOSUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  50MG; HELVETICUS LACTOBACILLUS  50MG; FAECIUM LACTOBACILLUS  70MG; BIFIDOBACTERIUM BREVE  75MG; BIFIDOBACTERIUM LONGUM  70MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  300MG; PRETICX  300MG,2020-08-05 19:33:07,13,148.8154,142.6
30 CAP | BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  30MG; BIFIDOBACTERIUM INFANTIS  50MG; ACIDOPHILUS LACTOBACILLUS  50MG; DELBRUECKII LACTOBACILLUS  20MG; JOHNSONII LACTOBACILLUS  60MG; PLANTARUM LACTOBACILLUS  30MG; RHAMNOSUS LACTOBACILLUS  50MG; STREPTOCOCCUS TERMOPHILUS  50MG; SOD  10MG; XOS (XILOOLIGOSSACARIDEOS)  100MG,2020-08-05 19:33:07,11,74.2098,63.1
180 CAP | HEXANICOTINATO DE INOSITOL  500MG,2020-08-05 19:28:08,1,296.9677,279.0
500 CAP | CITRATO DE SODIO  300MG,2020-08-05 19:26:07,1,115.077,106.0
60 CAP | TOPIRAMATO  25MG,2020-08-05 19:25:08,1,67.9819,59.2
60 CAP | CURCUMINA   600MG; PIPERINA  5MG,2020-08-05 19:22:07,2,158.9871,146.6
60 CAP | CRAMBERRY EXT SECO  400MG,2020-08-05 19:18:08,1,130.7032,119.9
90 CAP | VITAMINA A ACETATO 1:10  50000UI,2020-08-05 19:18:08,1,38.91,48.0
60 CAP | VIT D3 CAP OLEOSA  10000UI,2020-08-05 19:10:08,1,51.12,45.6
60 CAP | CROMO PICOLINATO  500MCG,2020-08-05 19:09:07,1,32.82,44.0
30 CAP | SILIMARINA  200MG,2020-08-05 19:08:07,1,41.2391,40.0
60 CAP | PHOLIAMAGRA  150MG; ADVANTRA  150MG; IOIMBINA CLORIDRATO  3MG; ACIDO ALFA LIPOICO  150MG; VIT B6  10MG; CLORTALIDONA 6.500MG; SELENIO QUELADO  100MCG; FAMOTIDINA  10MG,2020-08-05 19:08:07,8,135.0155,132.1
30 CAP | AJUGA TURKESTANICA  300MG; RHODIOLA ROSEA  200MG; BORO QUELADO  5MG,2020-08-05 19:08:07,3,88.7675,81.5
60 CAP | PHELLODENDRON AMURENSE  250MG; SILIMARINA  250MG,2020-08-05 19:08:07,2,167.8078,156.4
30 CAP | VITAMINA D3   5000UI,2020-08-05 19:07:07,1,32.22,40.0
120 CAP | ACIDO TRANEXAMICO  200MG; BIOTINA 1:10 2.500MG,2020-08-05 19:04:06,2,184.074,178.9
30 CAP | T4  70MCG; T3  10MCG; CORTISOL BIOIDENTICO  10MG; TIROSINA  150MG,2020-08-05 19:02:07,4,58.456,48.4
60 CAP | CROMO PICOLINATO  300MCG; 5-HTP  100MG,2020-08-05 19:01:20,2,112.8958,101.6
60 CAP | MAGNESIO DIMALATO  120MG,2020-08-05 19:01:20,1,39.3873,43.6
90 CAP | VITAMINA A  1000UI; VITAMINA D3 1:100  10000UI,2020-08-05 18:56:06,2,43.4982,48.0
70 CAP | BUPROPIONA CLORIDRATO  150MG,2020-08-05 18:56:06,1,70.9027,59.7
60 CAP | DIMETICONE PO  60MG; TRIBULUS TERRESTRIS EXT SECO  300MG; SERTRALINA CLORIDRATO  25MG; SELENIO QUELADO  10MCG; COENZIMA Q10 PO  30MG; ORLISTAT  100MG; PLANTAGO OVATA  120MG,2020-08-05 18:56:06,7,212.252,194.6
90 CAP | BIOTINA   5MG,2020-08-05 18:55:07,1,80.805,80.0
90 CAP | RHAMNOSUS LACTOBACILLUS  100MG; SALIVARIUS LACTOBACILLUS  50MG; PARACASEI LACTOBACILLUS   100MG; BIFIDOBACTERIUM LONGUM  50MG; BIFIDOBACTERIUM LACTIS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; INULINA  150MG,2020-08-05 18:53:07,7,168.9928,139.8
120 CAP | IOIMBINA CLORIDRATO  10MG,2020-08-05 18:53:07,1,61.8777,52.0
30 CAP | GLUTAMINA  10MG; RHODIOLA ROSEA EXT SECO  100MG; ASTRAGALUS EXT SEC  100MG; COENZIMA Q10 PO  50MG; VITAMINA B6  20MG; RESVERATROL  30MG; MAGNESIO TREONATO  300MG; D-RIBOSE  200MG,2020-08-05 18:51:09,8,130.7826,104.8
60 CAP | IOIMBINA CLORIDRATO  10MG,2020-08-05 18:51:09,1,45.9389,43.6
120 CAP | ACIDO ALFA LIPOICO  300MG,2020-08-05 18:49:07,1,166.1882,157.8
60 CAP | TERMOLIP  150MG; BEANBLOCK  100MG,2020-08-05 18:41:06,2,289.4424,271.1
120 CAP | VITAMINA D LIQ CAP ATE 15MIL  5000UI,2020-08-05 18:39:07,1,51.12,58.0
90 CAP | SELENIO GLICINA  200MCG; AC ASCORBICO REVESTIDA  500MG; ALFA TOCOFEROL  100UI; MIX TOCOTRIENOIS  60MG; EPIGALOCATEQUINA  100MG; RIBOFLAVINA  20MG; NIACINA NO FLUSH  30MG; METILFOLATO   1MG; TEANINA  20MG,2020-08-05 18:39:07,9,476.0867,474.0
90 CAP | T4  35MCG; T3  7MCG,2020-08-05 18:39:07,2,35.1405,48.0
180 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 MK-7 - LIQUIDA  100MCG,2020-08-05 18:39:07,2,96.1785,115.0
30 CAP | LS ANTI OX/ WHITE OXY ORAC  200MG; TRIIODOTIRONINA (T3) 1:1000  5MCG,2020-08-05 18:39:07,2,51.6806,42.0
30 CAP | LS ANTI OXY/WHITE OXY ORAC   200MG; TIROXINA  25MCG; TRIIODOTIRONINA (T3) 1:1000  5MCG,2020-08-05 18:39:07,3,52.2119,42.0
12 CAP | IVERMECTINA  6MG,2020-08-05 18:39:07,1,36.7097,39.9
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 LIQ SOL MAE  60MCG; VITAMINA A OLEOSA ORAL  400UI; VITAMINA E OLEOSA ORAL  200UI,2020-08-05 18:39:07,4,62.2069,54.8
30 CAP | MOROSIL  500MG; DRENOW   500MG,2020-08-05 18:28:07,2,181.1948,185.4
90 CAP | FUCUS VESICULOSUS PO  50MG; KELP IODINE EXTRACT 1% 1.500MG,2020-08-05 18:28:06,2,34.549,48.8
30 CAP | MOROSIL  500MG; DRENOW C  500MG,2020-08-05 18:28:06,2,181.1948,185.4
60 CAP | TIAMINA  200MG,2020-08-05 18:26:07,1,110.403,108.7
90 CAP | HIDROCORTISONA BASE  3MG,2020-08-05 18:24:07,1,43.6231,48.8
30 CAP | BIFIDOBACTERIUM LACTIS  50MG; BIFIDOBACTERIUM LONGUM  50MG; ACIDOPHILUS LACTOBACILLUS  100MG; HELVETICUS LACTOBACILLUS  50MG; JOHNSONII LACTOBACILLUS  30MG; PLANTARIUM LACTOBACILLUS  70MG; REUTERI LACTOBACILLUS  20MG; SOD  10MG; XOS (XILOOLIGOSSACARIDEOS)  100MG; PARACASEI LACTOBACILLUS   30MG,2020-08-05 18:24:07,10,72.1559,63.5
60 CAP | SILIMARINA  150MG,2020-08-05 18:23:06,1,46.8587,44.0
8 CAP | VITAMINA D3 1:100  50000UI,2020-08-05 18:18:07,1,35.92,40.0
8 CAP | HIDROXICLOROQUINA SULFATO  400MG,2020-08-05 18:17:10,1,126.3072,117.0
180 CAP | CURCUMA LONGA  550MG; PIPER NIGRUM  10MG; CARDO MARIANO  500MG,2020-08-05 18:13:07,3,608.5109,569.8
180 CAP | ZINGIBER OFFICINALIS L. ROSCOE  250MG,2020-08-05 18:12:07,1,75.6921,71.4
120 CAP | FLUOXETINA  40MG,2020-08-05 18:07:06,1,89.2365,77.0
60 CAP | CICLOBENZAPRINE 2.500MG,2020-08-05 18:07:06,1,42.6,43.6
60 CAP | PEA BIOACTIVE   600MG; BOSWELLIA SERRATA  150MG,2020-08-05 18:06:08,2,205.9609,192.7
30 CAP | PREGABALINA  75MG,2020-08-05 18:05:07,1,83.55,77.7
32 CAP | VITAMINA D3   50000UI,2020-08-05 18:02:06,1,53.68,43.6
90 CAP | MAGNESIO L-TREONATO  200MG,2020-08-05 18:02:06,1,73.7402,63.9
14 CAP | CITRATO DE SODIO  200MG,2020-08-05 18:01:06,1,31.5881,39.9
60 CAP | ATENOLOL  50MG; MALEATO DE ENALAPRIL  20MG; CLORTALIDONA  25MG; ESPIRONOLACTONA 12.500MG,2020-08-05 18:01:06,4,121.8527,107.0
60 CAP | CORTISOL BIOIDENTICO  10MG; TIROSINA  300MG; LIOTIRONINA SODICA  15MCG,2020-08-05 18:01:06,3,106.2144,111.16
60 CAP | DIPIRONA  300MG; TRAMADOL CLORIDRATO  40MG; DEFLAZACORT  2MG,2020-08-05 17:57:06,3,91.4875,86.4
40 CAP | PREGABALINA  75MG; FLUOXETINA  40MG; CARISOPRODOL  200MG; CETOPROFENO  50MG,2020-08-05 17:57:06,4,163.2542,153.4
30 CAP | ATENOLOL  20MG; LOSARTAN  50MG; CLORTALIDONA  10MG; ANLODIPINA  3MG,2020-08-05 17:48:06,4,81.2349,68.0
